areas,audio,category,course_title,dct_price,discount,length,level,new_course_date,number_students,positive_reviews_share,price,reviews,software,subtitles,summary,teacher,teacher_links
"Character Design,Comic,Drawing,Fine Art,Graphic Humor,","Spanish
",Illustration,The Comic is Another Story,NA,73% Disc.,"3h 24m
",Intermediate,No new course,3171,99,US$ 44.90,212,,"Spanish
","['\nTo warm up the engines, Paco Roca will guide you with a brief introduction to the world of comics and the creative process of a story. Next, you will work on the search for the idea (the seed of the comic), going through the most important part of the documentation. Once well informed and with clear ideas, you will focus your story beginning to elaborate the script, learning to divide it in its different parts and outlining the characters. \n\n When you have the story on track, Paco will teach you to make several sketches, which you will use to present the point of view, the scenes, the plans, the actions ... Then you will structure all the information in the available space so that the comic works in harmony and readability. It will be time to pass it in pencil. You will learn to look for the graphic style that best suits the story. You will continue with the inking, the shadows and the color. Finally, you will learn to add the final labels to your comic. \n\n And voilà! In 15 video lessons you will have become a true master of graphic narration.\n', '\nAs a final project of the course, you will create your own two-page comic with a self-contained story, that is, with a beginning and an end, following the style of Paco Roca\'s publications in El País Semanal. Although the exercise for this course consists of two pages, the method of work learned will serve you perfectly to create a longer comic or even a graphic novel. \n\n  \n\n']",Paco Roca,"https://www.domestika.org/en/login.js?scope=courses&target=31-the-comic-is-another-story,https://domestika.org/pacoroca,https://twitter.com/paco_roca,http://www.pacoroca.com/"
"Acrylic Painting,Drawing,Fine Art,Illustration,Painting,Textile illustration,","Spanish
",Illustration,Introduction to Floral Illustration with Acrylic,NA,67% Disc.,"1h 4m
",Beginner,No new course,625,82,US$ 44.90,44,,"Spanish
","['\nFirst you will know the work of Maya Hanisch, who will tell you about her experience as an illustrator, painter and author of books. In addition, it will show you some of the references that usually inspire you when making your compositions and will show you the work of your favorite artists. \n\n Then he will talk about the materials you will use to create your illustrations and he will give you some very useful tips to work with acrylic. \n\n Paying close attention to the concepts of symmetry and proportion, you will make your first sketch. Once you achieve the composition you wanted, you will apply the first layer of color. \n\n After a second layer of paint you will begin to apply the lights, shadows and volumes that will give true character to your folk illustration. \n\n Finally, you will add the details that will make your composition a unique and special piece full of magic.\n', '\nYou will make a composition with floral elements and folk inspiration that you will capture on the object that you want using acrylic paint. \n \n']",Maya Hanisch,"https://www.domestika.org/en/login.js?scope=courses&target=354-introduction-to-floral-illustration-with-acrylic,https://domestika.org/mayahanisch,https://instagram.com/maya_hanisch,https://www.pinterest.com/maya_hanisch,https://www.mayahanisch.com/"
"Art Direction,Graphic Design,Infographics,Information Architecture,Information Design,","Spanish
",Design,Anti-Yawn Infograph,US$ 9.90,78% Disc.,"1h 45m
",Beginner,No new course,2488,99,US$ 44.90,138,"Adobe Illustrator,","Spanish
","['\nHow to develop an infographic molona and not die in the attempt. The experts of relaxcoco will provide you with the basic kit of tricks and tools to shine your project, finding out how to search for anti-bite data and how you can organize and transform them until you get an impressive infographic. You will work on the entire infographic workflow: \n\n - The referents. \n - Choice of information and data analysis. \n - Sketch and structure of the grid. The secret of the perfect grid! \n - Typography, geometric vector and chromatic range. \n - Preparation of the material and final touches. \n\n You will also learn tricks to organize and divide your work into small assumable tasks. And, as if that were not enough, you can laugh at death graphically.\n', '\nThroughout this course you will carry out step by step a high impact infographic poster that allows you to graphically explain the essence of the evolution of the species: the Darwin Awards, with a Top 5 of the most stupid deaths on the planet. \n\n  \n\n']",relajaelcoco,"https://www.domestika.org/en/login.js?scope=courses&target=22-anti-yawn-infograph,https://domestika.org/relajaelcoco,https://facebook.com/relajaelcoco,https://twitter.com/relajaelcoco,http://www.relajaelcoco.com"
"Digital illustration,Illustration,","Spanish
",Illustration,Digital Shading Techniques,NA,57% Disc.,"4h 5m
",Intermediate,No new course,2601,100,US$ 34.90,235,"Adobe Illustrator,,,Adobe Photoshop,","Spanish
","['\nYou will begin knowing the trajectory and the influences of Abraham García. \n\n Next, you will discover the Illustrator brushes and tools used by Abraham to create shapes, shadows and volumes, as well as tips for preparing a file correctly. \n\n Afterwards, you will start with the design of your label. To do this, you will learn to create a reference board in Photoshop, composition tricks, vectorize your sketch and add shadows and baselines. \n\n You will add a typography to the project. You will learn to adjust the letters and add detail through lights, shadows and ornamentation with Photoshop. \n\n Finally, you will add color to the label and prepare the file for printing by separating the color into different layers. \n\n \n', '\nYou will design a label for a brand of whiskey from scratch using the digital gaging technique. \n\n']",Abraham García,"https://www.domestika.org/en/login.js?scope=courses&target=163-digital-shading-techniques,https://domestika.org/abraham_garcia,https://facebook.com/abraham.garciasanchez.31,https://instagram.com/abraham_garcia_sanchez,https://www.behance.net/agsilustration"
"Character Design,Concept Art,Digital illustration,Illustration,Video game,","Spanish
",Illustration,Character Design for Concept Art,US$ 14.90,67% Disc.,"2h 3m
",Intermediate,No new course,1285,97,US$ 44.90,99,"Adobe Photoshop,","Spanish
","['\nThe first thing you will do is immerse yourself fully in the world of concept art, diving in search of visual references that will help you create your character. \n\n Next, Alexander will talk to you about the materials he usually uses and show you how he creates the previous sketches, which he will later scan to edit digitally. \n\n Once these sketches are finished, you will start working with them in Photoshop. It will be then when you add the first strokes of color, which will help you obtain volume in the forms. \n\n  \n\n When you have finished preparing your illustrations, Alexander will teach you some tips and tricks to make a professional presentation to the client. \n\n Once the first version of your character is approved, you will learn to use digital brushes and to play with light and color to create an environment according to the appearance of your creature. You will make the final touches and add the last details to the illustration. \n\n Finally, you will correct the last imperfections and understand the importance of staying away from the project for a few hours to see your own illustrations with an objective look. \n\n \n', '\nYou will create a character for concept art based on your own ideas. The only limit is your imagination.\n']",J.Alexander Guillen,"https://www.domestika.org/en/login.js?scope=courses&target=215-character-design-for-concept-art,https://domestika.org/jalexanderguillen,https://twitter.com/JosebaAlexander,https://instagram.com/joseba_alexander,https://www.linkedin.com/in/alexander-joseba-7947258/,https://www.artstation.com/alexanderjoseba"
"Design,Digital illustration,Graphic Design,Illustration,","Spanish
",Illustration,Digital Illustration with Geometric Shapes for Beginners,NA,67% Disc.,"2h 34m
",Beginner,No new course,337,100,US$ 44.90,30,"Adobe Illustrator,","Spanish
","['\nYou will start by knowing the work and the artists that influenced Pablo Lobato, both illustrators, painters and musicians, as well as movies, television and, above all, the observation of the environment. \n\n You will discover techniques and tricks to let go when drawing and you will assemble your own collection of sketches that will serve as a file of ideas. \n\n Next, you will learn to use lines to draw. You will know the different classes that exist: straight lines, curves, uniform, modulated, discontinuous, among others, to then see how to use these variables to modify your initial design. \n\n Then, you will build using only circles and later rectangles. You will combine both using, among other tools, the pathfinder or search engine to add, subtract and achieve more complex forms. \n\n You will create your illustrations in black and white, then add textures, transparencies, grays and finally colors. In addition, you will experiment with the results, creating alternative versions to the original. \n\n Finally, you will learn Pablo\'s work methodology, which is summarized in three ""personalities"": the detective who collects information, the artist who creates sketches and the executor who gives a professional finish to the illustrations.\n', '\nThroughout the course you will create an illustration in which you will apply all the resources learned. \n \n']",Pablo Lobato,"https://www.domestika.org/en/login.js?scope=courses&target=487-digital-illustration-with-geometric-shapes-for-beginners,https://domestika.org/pablo_illus,https://facebook.com/Pablo-Lobato-57269332479,https://twitter.com/PabloLobato,https://instagram.com/Pablo.illus"
"Character Design,Comic,Creativity,Drawing,Graphic Humor,Illustration,","Spanish
",Illustration,Illustration of Characters with Style,US$ 19.90,56% Disc.,"1h 42m
",Beginner,No new course,1051,99,US$ 44.90,77,"Adobe Illustrator,,,Adobe Photoshop,","Spanish
","['\nYou will start knowing Alberto Montt, who will talk to you about what has led him to be an illustrator, about the search to find his style and know some of his biggest influences. \n\n Then you will discover the importance of the game when creating characters. You will return to the most basic technique: draw with sticks as a starting point or base structure to create a character. \n\n Montt will explain the advantages of working in Illustrator and learn some tips to create a basic color palette easily and quickly. \n\n Once you have the sketch of your character you will digitize it. You will see how to migrate a drawing from Photoshop to Illustrator and vice versa, learning how both programs complement each other to facilitate your work as an illustrator. \n\n You will perform several experimentation exercises creating characters and elements as an initial step of your infinite creative journey. \n\n In addition, Montt will show you his work methodology to create one of his cartoons for his famous blog \'Dosis Diarias\'. \n\n \n', '\nYou will illustrate a group of characters to start creating your personal library with style.\n']",Alberto Montt,"https://www.domestika.org/en/login.js?scope=courses&target=287-illustration-of-characters-with-style,https://domestika.org/albertomontt,https://facebook.com/dosisdiarias,https://twitter.com/albertomontt,https://instagram.com/albertomontt,http://www.dosisdiarias.com/"
"Concept Art,Digital illustration,Game Design,Illustration,Video game,","Spanish
",Illustration,Concept Art for Video Games,US$ 14.90,67% Disc.,"4h 55m
",Intermediate,No new course,1738,100,US$ 44.90,129,"Adobe Photoshop,","Spanish
","['\nYou will begin by getting to know Nacho\'s work and his influences better. You will discover, also, what is the work of the concept artist in the world of videogames and in what phases of production these professionals are involved. \n\n When you embark on your project, you will start studying the briefing and Nacho will teach you to extract the key ideas to be able to shape your designs. He will also tell you about the tools he uses to create his scenarios. \n\n Once you have clear the needs that you must take into account, you will realize your own custom shapes, a very versatile technique that will help you to generate quick compositions. Then, you will develop and add color and texture to these compositions and Nacho will give you some advice on the most attractive way to present them to the art director or the client. \n\n \n', '\nYou will learn how to create a professionally finished concept art scene for an AAA video game from a real briefing.\n']",Nacho Yagüe,"https://www.domestika.org/en/login.js?scope=courses&target=239-concept-art-for-video-games,https://domestika.org/nachoyague,https://facebook.com/nachoyague,https://twitter.com/nachoyague,https://instagram.com/nachoyague,https://www.linkedin.com/in/nachoyague/,http://www.nachoyague.com/"
"Children's book illustration,Digital illustration,Editorial Design,Vector Illustration,","Spanish
",Illustration,Illustration and Design of Children’s Books,US$ 14.90,67% Disc.,"1h 36m
",Beginner,No new course,1725,96,US$ 44.90,98,"Adobe Illustrator,,,Adobe Photoshop,","Spanish
","['\nYou will begin knowing the work of Carlos, who will also tell you about his passion for drawing and how he became what he is today. He will also tell you about his influences and what inspires him most. \n\n It will show you some of your sketchbooks and help you with exercises so that you lose the fear of drawing and you can embrace your own style. \n\n Then, he will explain how to make an ABC book and you will see how to carry out an editorial project of these characteristics. \n\n You will start by writing a simple story, which will serve to articulate the plot thread of your book; you will create the main characters; you will choose your color palette and select the type that best suits the style of your project. \n\n Once you have clear all the elements of your book, you will make a storyboard and a work calendar. \n\n Afterwards, you will make the illustrations and make the final editing of your book. \n\n Finally, Carlos will talk about some legal issues that should be taken into account when addressing this type of editorial projects. \n\n \n', '\nYou will carry out the whole process of creating an ABC book, aimed at children from 0 to 3 years old, with your own illustrations.\n']",Carlos Higuera,"https://www.domestika.org/en/login.js?scope=courses&target=267-illustration-and-design-of-children-s-books,https://domestika.org/carloshiguera,https://facebook.com/carloshiguerailustraciones,https://twitter.com/karlosahc,https://instagram.com/carloshiguera,http://carloshiguera.net/"
"Artistic drawing,Drawing,Fine Art,Illustration,Painting,Pencil drawing,Portrait Drawing,Portrait illustration,Realistic drawing,Sketching,","Spanish
",Illustration,Illustration with Pastel and Coloured Pencils,US$ 14.90,67% Disc.,"1h 59m
",Beginner,No new course,2427,100,US$ 44.90,161,,"Spanish
","['\nYou will begin by getting to know Elena Pancorbo\'s work and she will tell you about the path that led her to become an illustrator with commissions from some of the most important publishers. You will also discover their influences. \n\n Next, he will explain his creative process when making his illustrations. It will show you how to look for photographic references that will serve as a guide for your portraits and will tell you about the necessary materials. \n\n Once you have your reference image you will learn to sketch it, fit it and draw it to be able to apply the pastel technique. \n\n The first thing you will do is highlight the lights and brightness, then apply the tonalities of the skin and you will learn to blur the colors so that the result is more natural. Once this is done, you will proceed to apply the contrasts and shadows. \n\n When you have finished the stage of the application of the cake you will use colored pencils to outline the contours. You will work the volumes and some details like tattoos and hair. \n\n Once your illustration is finished, you will use a fijativo for pastel. \n\n \n', '\nYou will make an illustration using the pastel technique and the colored pencils. You decide to what level of detail you want to get by applying more or less quantity of cake. \n\n']",Elena Pancorbo,"https://www.domestika.org/en/login.js?scope=courses&target=232-illustration-with-pastel-and-coloured-pencils,https://domestika.org/elena_pancorbo,https://facebook.com/Elenapancorboilustración,https://twitter.com/Pancorboelena,https://instagram.com/elenapanc,https://www.pinterest.com/elenapancorbo,https://es.linkedin.com/in/elena-pancorbo-91958398"
"Fine Art,Illustration,Painting,Street Art,Tattoo Design,","Spanish
",Illustration,How to Design a Tattoo,US$ 9.90,78% Disc.,"5h 3m
",Intermediate,No new course,1707,87,US$ 44.90,90,"Adobe Illustrator,,,Adobe Photoshop,","Spanish
","['\nYou will begin to know better the career and work of the illustrator and tattoo artist Aníbal Pantoja as well as the influences that inspire him. \n\n Below you will discover the principles and basic techniques for the realization of a tattoo. You will know the elements that form it, you will analyze the composition of a drawing and the different types of skin that exist. Hannibal will also tell you about the working tools (coil and rotary machines), their use, applications and types of pigments used. \n\n Once you have learned the basics, it will be time to move on to the design phase of your first tattoo. At this point, you will learn to identify different styles of the tattoo, the supports and the use of flash sheets for the transfer of the drawing to the skin. \n\n Aníbal will teach you how to make organic designs, realistic designs and computer designs by practicing geometry, symmetry and repetition with analog and digital tools. \n\n At the end of the course you will be ready to create your own designs mixing all kinds of techniques, styles and making the most of the drawing through the use of color and composition. \n\n \n', '\nYou will design a tattoo applying all the knowledge and resources acquired in the course. \n']",Aníbal Pantoja,"https://www.domestika.org/en/login.js?scope=courses&target=120-how-to-design-a-tattoo,https://domestika.org/anibalpantoja,https://facebook.com/gallonegrotatuajes,https://instagram.com/gallonegrotatuador"
"Character Design,Design,Illustration,Vector Illustration,","Spanish
",Illustration,Design of Kawaii-Style Characters,NA,76% Disc.,"1h 54m
",Beginner,No new course,1452,95,US$ 44.90,136,"Adobe Illustrator,","Spanish
","['\nYou will start knowing the work of Azul and Carlos, who will also tell you about their influences and their experiences living in Japan. You will also discover what kawaii means and what that style implies. \n\n Afterwards, you will work with the expressions of your characters. And then, you will make your first kawaii character from start to finish. \n\n Azul and Carlos will talk about colors, lines, plots and other resources that you can use to set and create your characters. \n\n Next, you will learn to create animal characters - standing on two legs or on four legs - and you will see what are the ""Yuru Kyara"", the representative mascots of brands, entities, events and prefectures of Japan. And you will learn how to make your own pet for a brand. \n\n \n', '\nYou will design a character in kawaii style from end to end, with a specific purpose. \n\n \n']",Estudio Kudasai,"https://www.domestika.org/en/login.js?scope=courses&target=258-design-of-kawaii-style-characters,https://domestika.org/estudiokudasai,https://facebook.com/estudiokudasai,https://twitter.com/estudiokudasai,https://instagram.com/estudiokudasai,http://estudiokudasai.com/"
"Artistic drawing,Design,Illustration,Poster Design,","Spanish
",Illustration,Digital Illustration with Illustrator and Photoshop,US$ 14.90,67% Disc.,"3h 42m
",Beginner,No new course,1358,100,US$ 44.90,56,"Adobe Illustrator,,,Adobe Photoshop,","Spanish
","['\nYou will begin by getting to know more about Julian\'s work, who will also tell you about the artists who inspire him most and his influences. \n\n Then you will define the graphic style and the color palette that you will use in your illustration. You will make the first sketches, which will help you to establish the composition of the design. \n\n Once you are satisfied with the result, you will digitize the sketch and work with it in Illustrator. You will also include a logo, you will select the typefaces and you will work all the elements so that the composition is harmonious and attractive. \n\n Next you will apply color, textures and shadows, refining the last details of the poster. \n\n To finish, Julián will teach you how to make a simple animation that will turn your poster into a gif. \n\n \n', '\nYou will make an illustrated poster that will serve as a graphic image for a business.\n']",Julian Ardila,"https://www.domestika.org/en/login.js?scope=courses&target=255-digital-illustration-with-illustrator-and-photoshop,https://domestika.org/julianardila,https://facebook.com/Julianardila.oficial,https://instagram.com/julianardila25"
"Fine Art,Illustration,Watercolor painting,","Spanish
",Illustration,Watercolour on Wood,US$ 19.90,56% Disc.,"2h 7m
",Beginner,No new course,455,100,US$ 44.90,21,,"Spanish
","['\nThe first thing you will do is meet Katherine Dossman, her professional and artistic career, how she became 100% dedicated to illustration and, also, her main influences. \n\n You will know the material you need to detail to use the technique, including the types of wood, pigments and extra materials or optional to work. \n\n You will plan your illustration to make it come true. First you will see the types of sketch by level of complexity. You will make a color palette, defining colors, ranges and consistencies that you will use in watercolor, acrylic and pastel. Then you will learn to trace your sketch to the wood without spots. \n\n Once you have everything ready, you will learn to apply the technique by individually painting the areas that go in watercolor and those that go in acrylic. You will see how to do the scraping and sanding of the support and finally, you will use the pastel chalk to create shading and apply the varnish for final protection. \n\n At the end, you will have made an illustration on wood, combining techniques of watercolors and acrylic making the best use of the support. \n', '\nYou will make an original final work of 30 x 20 centimeters on a wooden plate applying all the techniques learned. \n\n \n']",Katherine Dossman Casallas (k2man*),"https://www.domestika.org/en/login.js?scope=courses&target=420-watercolour-on-wood,https://domestika.org/kdossman,https://facebook.com/k2man,https://instagram.com/k2man,https://www.linkedin.com/in/katherine-dossman-casallas-a0979324/,https://k2manart.com/"
"Art Direction,Collage,Design,Editorial Design,Graphic Design,Typography,","Spanish
",Design,Digital Collage for Editorials,US$ 19.90,56% Disc.,"2h 39m
",Beginner,No new course,842,100,US$ 44.90,48,"Adobe Illustrator,,,Adobe Photoshop,","Spanish
","['\nYou will begin by getting to know the beginnings of Israel in editorial design and illustration, through examples of their work and getting to know the artists who inspire you today. \n\n Before making a collage, you will know in a brief and didactic way the history of this technique of composition, how it arises and what it is for. \n\n You will then go to the pre-production stage, in which you will learn about the process within an editorial medium; what are the steps and what are the elements and characters that intervene in the making of a collage for an editorial medium. Then, you will make a moodboard and a sketch in Photoshop to land the first ideas and give the necessary direction to your piece. \n\n Israel will then help you in the composition and assembly of your collage, giving you tips on the images to use, where to get them and how to make them look the best in Illustrator and Photoshop. You will first create your composition in black and white to determine the functioning of the elements, and then you will learn to apply a color palette. \n\n Finally, you will learn to give the final touches in post-production to your collage: filters, textures and preparation of the final file. \n\n \n', '\nYou will develop an illustration for a double page of magazine; in particular, the entry of an article or opener, considering the format and the space for the accompanying text.\n']",Israel García Vargas,"https://www.domestika.org/en/login.js?scope=courses&target=438-digital-collage-for-editorials,https://domestika.org/israelgevargas,https://facebook.com/israelgevargas,https://twitter.com/israelgevargas,https://instagram.com/israelgevargas"
"Acrylic Painting,Artistic drawing,Fine Art,Illustration,Painting,","Spanish
",Illustration,Botanical Painting with Acrylic,US$ 19.90,56% Disc.,"2h 27m
",Beginner,No new course,619,100,US$ 44.90,27,,"Spanish
","['\nThe first thing you will do is to learn more about the work of Lucila Domínguez, who will also tell you about the artists she most admires and inspires. \n\n Then you will create a moodboard, which will inspire you to always have at hand the plants you want to draw. \n\n You will do some exercises to know the possible shapes of the leaves and flowers, and in this way you will try to imitate with the pencil the way in which they fall and their movement. \n\n Later you will experiment with acrylic paint, you will let go with the brush and you will discover the different textures that this technique allows to obtain. \n\n Lucila will give you some tips to master the theory of color and you will learn to create volumes with painting through the creation of light and shadow. \n\n Once you have mastered all this, you will make your first composition. Lucila will show you how to create a grid that will be of great help when transferring your paper design to a larger support. \n\n And finally you will apply the color.\n', '\nYou will draw and paint a composition with various types of leaves and flowers that you will first create on paper and later move to a larger scale. \n \n']",Lucila Dominguez,"https://www.domestika.org/en/login.js?scope=courses&target=348-botanical-painting-with-acrylic,https://domestika.org/lucilismo,https://instagram.com/lucilismo,http://www.lucilismo.com/"
"Character Design,Illustration,","Spanish
",Illustration,Methodology and Conceptualisation for Designing Characters,US$ 9.90,78% Disc.,"1h 35m
",Beginner,No new course,744,94,US$ 44.90,36,"Procreate,","Spanish
","['\nYou will begin by getting to know Jordi Ros\'s work, his professional career and his influences applied to the design of characters. \n\n You will learn your pre-design research process: research and drafting (the professional binomial behind all your work) and create moodboards of organized and structured inspiration to create characters. \n\n Then you will create the basis of your character: a template on which you can go iterating and changing depending on the action and situation in which you are. This will help you to streamline the design process. \n\n Finally, Jordi will tell you how to adapt your characters, and all the content generated around them, to a professional presentation format with descriptions, annotations and graphic design elements that will help your character explain itself.\n', '\nYou will design a character from a predefined concept by Jordi or, if you wish, by yourself. \n \n']",Jordi Ros,"https://www.domestika.org/en/login.js?scope=courses&target=392-methodology-and-conceptualisation-for-designing-characters,https://domestika.org/jor_ros,https://facebook.com/realjordiros,https://instagram.com/jor.ros,https://www.linkedin.com/in/jordi-ros-19240b10b/,https://www.jor-ros.com/"
"Drawing,Illustration,Watercolor painting,","Spanish
",Illustration,Watercolor Illustration with Japanese Influence,US$ 19.90,56% Disc.,NA,Beginner,No new course,45,0,US$ 44.90,0,,"Spanish
","['\nYou will start by knowing Flor, her Okinawan roots and her professional career as an illustrator. It will show you some of its references, from illustrators to film directors. \n\n You will make an introduction to the history of Sumi-e, a drawing technique that you will use throughout the course. You will see some examples of simple compositions in this style, and then review the materials and tools you will use during the course. \n\n You will give your first strokes by doing some watercolor exercises to solve different surfaces and elements in your works. You will learn to work the full, color passages and spots in the composition. \n\n You will begin to familiarize yourself with the Japanese side of watercolor, learning some basic brushstrokes of the style, taking into account the pressure, speed and direction of your brushstrokes. Through the study of the four nobles of the Sumi-e - bamboo, orchid, chrysanthemum and plum - you will practice the basic traces of this artistic current. \n\n You will start the production of your illustration by building your reference file, which you will then use as a source of inspiration when making an illustration. \n\n You will create your first sketches, taking into account that your illustration must tell a story. You will go from the sketch to the watercolor paper, drawing the chosen composition with soft strokes to allow greater freedom when applying the color. \n  \n\n You will fix the sheet to the surface, decide what colors to use, testing and get down to work. You will start by painting the elements in the third plane, with colors in high tonal value, then go to the background and then the elements in the foreground, using more saturated colors. Finally, you will paint the characters in your illustration, trying to generate contrast with the background using a fine brush to outline those parts that you want to highlight. \n\n Once dry, you will scan your artwork to digitize it and take it to Adobe Photoshop. You will review the basic tools of the program that will be useful for editing your piece. You will clean the illustration and enhance its colors looking for a good digital reproduction that comes close to the original version. \n\n Before the end of the course, Flor will give you some of the advice that he has collected over the years from other illustrators, animators, artists, publishers and friends.\n', '\nYou will create an illustration that tells a story, applying what you learned in the course on watercolor and Japanese brush strokes. \n \n']",Flor Kaneshiro,"https://www.domestika.org/en/login.js?scope=courses&target=617-watercolor-illustration-with-japanese-influence,https://domestika.org/florkaneshiro,https://facebook.com/florkaneilustraciones,https://instagram.com/flor_kaneshiro,https://www.linkedin.com/in/flor-kaneshiro/,https://florkane.wixsite.com/florkaneshiro"
"Complement Design,Costume Design,Design,Fashion Design,Fine Art,Illustration,Painting,Pattern Design,Printing,Screen-printing,Watercolor painting,","Spanish
",Craft,Reasons to Repeat,US$ 11.90,73% Disc.,"2h 18m
",Beginner,No new course,6530,99,US$ 44.90,448,,"Spanish
","['\nThis course contains four didactic units in which Mónica will show you what she does and what her method of work is. It will show you where you are looking for inspiration to make your wonderful prints. It will also offer you some basic notions of different techniques to draw your pattern, sure you will be surprised by the amount of things you can do with materials you have at home and finally a simple guide on how to create a rapport in Photoshop to apply on any surface or support. In our case we will apply it to a packaging. \n\n \n']",Mónica Muñoz Hernández,"https://www.domestika.org/en/login.js?scope=courses&target=9-reasons-to-repeat,https://domestika.org/moniquilla,https://facebook.com/pages/moniquilla/135895896425951,https://twitter.com/moniquillatuit,http://www.moniquilla.com"
"Artistic drawing,Fine Art,Illustration,Painting,","Spanish
",Illustration,Introduction to Illustration with India Ink,US$ 14.90,67% Disc.,"2h 43m
",Beginner,No new course,3947,99,US$ 44.90,266,,"Spanish
","['\nYou will start knowing the work of different artists specialized in Chinese ink, which will give you a perspective of the different results that can be obtained by applying it to illustration. \n\n Hilda will explain the different materials that you can use when working with this technique: paper types, brushes and the ink itself. \n\n The first exercise you will do, to learn to master the technique, will be the creation of gradients. Also, you will learn to perform the superposition of plaste, levels of depth and three-dimensionality. You will continue performing exercises on degraded and organic plasta and you will know the correct way to use and handle the brush. \n\n  \n\n Once you have learned the basic techniques, you will immerse yourself in the project. You will start by applying the diluted Chinese ink in different levels of luminosity, to later apply black platings, openwork and white acrylic. Finally, you will apply more detailed details and learn how to correct small errors that may have arisen during the process. \n\n Finally, you will digitize your illustration and do a basic touch up in Photoshop. \n\n  \n', '\nTaking as a starting point a photograph, you will reinterpret it as an illustration with ink, applying the different techniques you will learn during the course. \n']",Hilda Palafox,"https://www.domestika.org/en/login.js?scope=courses&target=222-introduction-to-illustration-with-india-ink,https://domestika.org/poni,https://facebook.com/Hilda-Palafox-129403863876435,https://twitter.com/poni_oh,https://instagram.com/poni,https://www.pinterest.com/ponioh,http://www.hildapalafox.com/"
"Digital illustration,Illustration,Painting,","Spanish
",Illustration,Illustration for Non-Illustrators,US$ 19.90,56% Disc.,"8h 13m
",Beginner,No new course,7673,100,US$ 44.90,425,"Adobe Illustrator,,,Adobe Photoshop,","Spanish
","['\nYou will begin by getting to know the work and career of Mr. Kone and his vision of the contemporary Enlightenment. Next, you will start from elements that surround your daily life to develop different ideas that allow you to experiment when illustrating through basic shapes such as: circles, squares, rectangles and trapezoids and then move on to the three-dimensional shapes with which you will create different shapes . \n\n You will also work with form and volume, create textures at an analogous level and then add more complex aspects to your illustrations, combining manual techniques with specific programs such as Photoshop and Illustrator. \n\n Finally, you will make a vector illustration in Adobe Illustrator full of realism and quality, applying all the knowledge and techniques learned during the course. \n\n \n', '\nMake a vector illustration following the steps of Mr. Kone\'s work method. \n\n']",Mr. Kone,"https://www.domestika.org/en/login.js?scope=courses&target=104-illustration-for-non-illustrators,https://domestika.org/mrkone,https://facebook.com/Mr-Kone-157541838741,https://twitter.com/mrkone,https://instagram.com/mrkone,https://www.pinterest.com/mrkone,http://www.mrkone.com.mx/"
"Illustration,Portfolio Development,","Spanish
",Illustration,Keys for Creating a Professional Illustration Portfolio,NA,73% Disc.,"1h 37m
",Beginner,No new course,2381,99,US$ 44.90,123,,"Spanish
","['\nYou will start knowing what Pencil is and how the idea of creating the first agency of illustrators in Spain came about. Then, Sandra and Angel will give you a short introduction in which they will tell you what a portfolio is and what are the main do\'s and don\'ts when it comes to making it memorable. \n\n Afterwards, you will have to do research work. You should ask yourself in what kind of sectors an illustrator can work and how you want to focus your portfolio according to what suits your style and your aptitudes. \n\n You will take a good walk through your own work, doing a selection task to choose the projects that can be included in your portfolio and those that will be left out. \n\n Angel and Sandra will give you some tips to develop an effective portfolio, warning you about common mistakes and addressing aspects that usually generate doubts, such as the support in which you must present it. \n\n Throughout the course, different illustrators and art directors will give their valuable testimony, which will help you to understand the importance of a good portfolio from different points of view. \n\n \n', '\nYou will design your professional portfolio based on your own illustrations.\n']",PENCIL·ILUSTRADORES,"https://www.domestika.org/en/login.js?scope=courses&target=249-keys-for-creating-a-professional-illustration-portfolio,https://domestika.org/pencil,https://facebook.com/pencil.ilustradores,https://twitter.com/pencil_ilustra,https://instagram.com/pencil_ilustradores,https://www.pinterest.com/pencilustra,https://www.linkedin.com/in/pencil-ilustradores-231b3435,www.pencil-ilustradores.com"
"Artistic drawing,Digital illustration,Drawing,Illustration,Pencil drawing,","Spanish
",Illustration,Drawing as a Creative Base,US$ 9.90,78% Disc.,"3h 48m
",Beginner,No new course,967,100,US$ 44.90,56,,"Spanish
","['\nYou will start the course knowing Alex Arizmendi, who will explain his professional career, will show you some of his works and his main artistic influences. \n\n You will discover the importance of the artist\'s observation capacity and demystify some common myths and confusions about drawing. \n\n Then you will discover the search and documentation system of Alex\'s creative process. After the research phase, you will start brainstorming to generate great ideas that will lead you to find a solid concept for your project. \n\n You will apply different methods of observation to make the sketch with the use of grid, guide lines, strength and implicit, the study of forms and negative and positive spaces. \n\n You will elaborate a work file that will help you maintain an ideal order to choose the final concept and you will pass it to the paper in your first sketch, applying all the observed observation methods. \n\n To finish, you will prepare the final drawing with firmer and more defined strokes.\n', '\nYou will create the drawing of a character with different methods of observation from photographic references, using a human element, an animal element and an inorganic element. \n\n \n']",Alex Arizmendi,"https://www.domestika.org/en/login.js?scope=courses&target=440-drawing-as-a-creative-base,https://domestika.org/alexarizmendi,https://facebook.com/MFK00ZERO,https://twitter.com/mfk00,https://instagram.com/mfk00dos,https://www.mfk00.com/"
